tim_000.dat
tim_001.dat
tim_002.dat
tim_003.dat
tim_004.dat
tim_005.dat
tim_006.dat
tim_007.dat
1 2	30 171 790940	40 212 790851
tim_008.dat
tim_009.dat
tim_010.dat
tim_011.dat
tim_012.dat
tim_013.dat
tim_014.dat
tim_015.dat
tim_016.dat
tim_017.dat
tim_018.dat
tim_019.dat
tim_020.dat
tim_021.dat
tim_022.dat
tim_023.dat
tim_024.dat
tim_025.dat
tim_026.dat
tim_027.dat
tim_028.dat
tim_029.dat
tim_030.dat
1 2	101 123 679500	98 151 679226
tim_031.dat
tim_032.dat
tim_033.dat
tim_034.dat
tim_035.dat
tim_036.dat
1 1	18 246 512567	75 117 512575
tim_037.dat
tim_038.dat
tim_039.dat
tim_040.dat
1 1	2 240 200820	24 213 200800
1 1	17 196 649517	109 91 649417
1 1	67 161 942371	159 191 942200
1 1	122 89 694600	239 166 694600
tim_041.dat
1 1	18 207 269725	104 30 269875
1 1	27 32 319200	156 127 319075
1 1	233 232 867618	240 90 867638
1 2	26 221 97216.7	232 127 97380
tim_042.dat
1 1	22 77 586131	147 38 586433
1 2	23 216 911956	164 32 911600
tim_043.dat
1 1	216 88 603000	217 129 603250
1 2	91 244 448267	52 173 448478
1 2	136 110 791500	104 70 791600
tim_044.dat
1 1	0 91 663700	58 107 663700
1 2	0 91 663700	245 73 663946
1 2	58 107 663700	245 73 663946
1 2	112 245 530011	175 131 529683
1 2	203 149 572575	145 147 572516
tim_045.dat
1 1	56 57 819840	185 225 819417
1 1	70 24 269050	154 52 269240
1 1	99 216 325758	178 190 325700
1 1	215 12 670077	217 155 669750
1 1	221 98 864400	225 38 864423
1 2	227 224 440100	159 144 439725
tim_046.dat
1 2	186 213 924160	255 143 924609
tim_047.dat
1 2	47 113 349114	20 190 348875
1 2	72 45 147167	141 46 147100
tim_048.dat
1 1	18 74 636833	128 253 636762
1 1	21 228 87500	221 40 87562.5
1 1	67 37 381514	106 41 381603
1 1	67 37 381514	164 12 381240
1 1	106 41 381603	164 12 381240
1 1	151 39 421025	212 5 421050
tim_049.dat
1 1	30 233 819883	94 6 819900
1 1	54 211 960048	53 251 960050
1 1	54 211 960048	55 152 960051
1 1	54 211 960048	56 109 960053
1 1	53 251 960050	55 152 960051
1 1	53 251 960050	56 109 960053
1 1	55 152 960051	56 109 960053
1 1	116 223 838643	131 228 838600
1 1	208 95 609050	229 215 609100
tim_050.dat
1 1	12 92 277600	249 1 277567
1 1	71 79 832417	101 163 832533
1 2	134 27 792029	0 55 792425
1 2	134 27 792029	1 62 791633
1 2	134 27 792029	1 70 791545
tim_051.dat
1 1	11 76 952986	223 174 953110
1 1	134 228 192721	249 115 192667
1 2	249 115 192667	29 220 192217
tim_052.dat
tim_053.dat
tim_054.dat
1 1	70 130 552762	109 175 552650
1 1	218 238 311198	219 131 311130
1 2	132 103 815957	23 239 815600
1 2	189 37 135100	67 41 135372
1 2	189 37 135100	70 226 135091
tim_055.dat
1 1	187 21 153238	242 229 153178
1 2	92 3 249967	235 227 250066
tim_056.dat
1 1	15 198 593600	145 215 593600
1 2	5 56 594631	148 40 594175
1 2	22 111 414567	80 244 414362
1 2	97 188 67362.5	145 30 66967.1
tim_057.dat
1 1	111 59 115553	223 127 115900
1 2	207 218 871571	126 164 871160
tim_058.dat
1 1	51 179 607500	70 22 607575
1 1	66 109 643643	83 192 643678
1 1	66 109 643643	87 6 643525
1 1	83 192 643678	87 6 643525
1 1	161 140 615330	241 59 615150
1 1	179 104 942600	237 211 942700
1 2	161 140 615330	254 49 615418
1 2	241 59 615150	254 49 615418
tim_059.dat
1 2	190 1 70933.3	33 130 70960
1 2	190 1 70933.3	34 188 70880
1 2	225 96 243017	144 204 243324
tim_060.dat
1 1	105 215 17533.3	203 91 17375
1 2	81 11 914312	36 211 914675
1 2	145 175 660089	43 252 659750
tim_061.dat
1 1	197 15 384003	219 245 384447
1 2	248 228 7550	168 16 8007.09
tim_062.dat
1 1	4 14 2600	66 127 2862.5
1 1	62 56 104586	84 103 104633
1 2	2 216 960050	212 139 959975
1 2	33 91 671514	70 27 671300
1 2	33 91 671514	70 35 671800
1 2	33 91 671514	180 12 671388
1 2	33 91 671514	203 98 671989
tim_063.dat
1 1	41 134 153800	233 82 153860
1 1	53 145 960033	161 46 960050
1 1	53 145 960033	163 234 960070
1 1	53 145 960033	163 218 960050
1 1	53 145 960033	163 248 960050
1 1	161 46 960050	163 234 960070
1 1	161 46 960050	163 218 960050
1 1	161 46 960050	163 248 960050
1 1	163 234 960070	163 218 960050
1 1	163 234 960070	163 248 960050
1 1	163 218 960050	163 248 960050
tim_064.dat
1 1	46 161 9261.9	154 121 9716.67
1 1	109 116 432211	114 76 432212
1 2	115 170 206114	6 219 206157
1 2	174 65 900300	10 180 900567
1 2	237 121 558267	240 213 558027
tim_065.dat
1 2	172 231 960055	247 2 960000
1 2	172 231 960055	253 234 959974
1 2	194 112 872088	192 39 871890
1 2	194 112 872088	193 110 872067
1 2	194 112 872088	194 136 872348
tim_066.dat
1 1	35 95 830361	55 51 830336
1 1	80 175 327143	240 56 327580
1 1	124 149 422425	251 113 422425
tim_067.dat
tim_068.dat
tim_069.dat
tim_070.dat
tim_071.dat
tim_072.dat
1 1	114 18 618700	252 127 618717
tim_073.dat
1 1	62 209 374814	137 238 374942
1 1	216 155 514079	233 90 514057
tim_074.dat
1 1	76 42 960050	218 238 960049
1 1	76 42 960050	219 191 960041
1 1	218 238 960049	219 191 960041
1 2	83 91 621288	45 185 620833
1 2	86 137 92650	167 180 93044.4
tim_075.dat
1 1	47 59 871775	66 65 871825
tim_076.dat
1 1	61 135 841150	172 86 840700
1 1	61 135 841150	207 111 841370
1 1	61 135 841150	216 206 841083
1 1	83 153 489920	165 180 489812
1 1	172 86 840700	216 206 841083
1 1	207 111 841370	216 206 841083
1 1	236 253 720408	243 255 720543
1 2	125 151 951757	111 121 951488
1 2	132 173 81950	116 44 82140
tim_077.dat
1 1	14 25 149023	64 119 149475
1 1	14 25 149023	88 252 149022
1 1	64 119 149475	88 252 149022
1 1	86 49 875371	91 23 875357
1 2	81 73 315074	64 106 314900
1 2	111 41 815500	31 6 815886
tim_078.dat
1 2	184 89 1725	1 192 1371.43
tim_079.dat
1 1	122 29 452750	201 213 452822
1 1	139 27 284067	212 7 284380
