tim_000.dat
tim_001.dat
tim_002.dat
2 2	76 194 723389	217 55 722920
tim_003.dat
tim_004.dat
2 2	96 10 358667	96 18 358550
2 2	97 81 360995	99 185 361450
2 2	234 85 960050	235 109 960050
2 2	234 85 960050	236 139 960018
2 2	234 85 960050	237 166 960026
2 2	234 85 960050	238 180 960000
2 2	234 85 960050	238 192 959976
2 2	234 85 960050	239 202 960050
2 2	234 85 960050	240 235 960000
2 2	234 85 960050	239 212 960012
2 2	235 109 960050	236 139 960018
2 2	235 109 960050	237 166 960026
2 2	235 109 960050	238 180 960000
2 2	235 109 960050	238 192 959976
2 2	235 109 960050	239 202 960050
2 2	235 109 960050	240 235 960000
2 2	235 109 960050	239 212 960012
2 2	236 139 960018	237 166 960026
2 2	236 139 960018	238 180 960000
2 2	236 139 960018	238 192 959976
2 2	236 139 960018	239 202 960050
2 2	236 139 960018	240 235 960000
2 2	236 139 960018	239 212 960012
2 2	237 166 960026	238 180 960000
2 2	237 166 960026	238 192 959976
2 2	237 166 960026	239 202 960050
2 2	237 166 960026	240 235 960000
2 2	237 166 960026	239 212 960012
2 2	238 180 960000	238 192 959976
2 2	238 180 960000	239 202 960050
2 2	238 180 960000	240 235 960000
2 2	238 180 960000	239 212 960012
2 2	238 192 959976	239 202 960050
2 2	238 192 959976	240 235 960000
2 2	238 192 959976	239 212 960012
2 2	239 202 960050	240 235 960000
2 2	239 202 960050	239 212 960012
2 2	240 235 960000	239 212 960012
tim_005.dat
tim_006.dat
2 2	9 7 955310	9 21 954811
2 2	9 7 955310	10 162 954843
2 2	9 21 954811	10 162 954843
tim_007.dat
2 2	19 7 83492.9	21 31 83740
2 2	38 126 790400	40 212 790851
2 2	160 2 959964	160 15 959973
2 2	160 2 959964	160 24 960011
2 2	160 2 959964	160 34 960050
2 2	160 2 959964	160 42 959950
2 2	160 2 959964	160 49 960014
2 2	160 2 959964	160 56 960017
2 2	160 2 959964	160 68 959996
2 2	160 2 959964	161 122 960035
2 2	160 2 959964	161 200 960050
2 2	160 2 959964	162 175 960000
2 2	160 15 959973	160 24 960011
2 2	160 15 959973	160 34 960050
2 2	160 15 959973	160 42 959950
2 2	160 15 959973	160 49 960014
2 2	160 15 959973	160 56 960017
2 2	160 15 959973	160 68 959996
2 2	160 15 959973	161 122 960035
2 2	160 15 959973	161 200 960050
2 2	160 15 959973	162 175 960000
2 2	160 24 960011	160 34 960050
2 2	160 24 960011	160 42 959950
2 2	160 24 960011	160 49 960014
2 2	160 24 960011	160 56 960017
2 2	160 24 960011	160 68 959996
2 2	160 24 960011	161 122 960035
2 2	160 24 960011	161 200 960050
2 2	160 24 960011	162 175 960000
2 2	160 34 960050	160 42 959950
2 2	160 34 960050	160 49 960014
2 2	160 34 960050	160 56 960017
2 2	160 34 960050	160 68 959996
2 2	160 34 960050	161 122 960035
2 2	160 34 960050	161 200 960050
2 2	160 34 960050	162 175 960000
2 2	160 42 959950	160 49 960014
2 2	160 42 959950	160 56 960017
2 2	160 42 959950	160 68 959996
2 2	160 42 959950	161 122 960035
2 2	160 42 959950	161 200 960050
2 2	160 42 959950	162 175 960000
2 2	160 49 960014	160 56 960017
2 2	160 49 960014	160 68 959996
2 2	160 49 960014	161 122 960035
2 2	160 49 960014	161 200 960050
2 2	160 49 960014	162 175 960000
2 2	160 56 960017	160 68 959996
2 2	160 56 960017	161 122 960035
2 2	160 56 960017	161 200 960050
2 2	160 56 960017	162 175 960000
2 2	160 68 959996	161 122 960035
2 2	160 68 959996	161 200 960050
2 2	160 68 959996	162 175 960000
2 2	161 122 960035	161 200 960050
2 2	161 122 960035	162 175 960000
2 2	161 200 960050	162 175 960000
1 2	30 171 790940	40 212 790851
tim_008.dat
2 2	86 142 960002	87 54 959971
2 2	86 142 960002	86 108 959900
2 2	86 142 960002	86 164 960020
2 2	86 142 960002	86 172 960020
2 2	86 142 960002	86 191 960026
2 2	86 142 960002	87 227 960025
2 2	87 54 959971	86 108 959900
2 2	87 54 959971	86 164 960020
2 2	87 54 959971	86 172 960020
2 2	87 54 959971	86 191 960026
2 2	87 54 959971	87 227 960025
