tim_000.dat
2 2	47 16 439771	54 145 439750
2 2	173 154 616325	173 160 616780
1 2	119 67 960033	23 136 960020
tim_001.dat
tim_002.dat
2 2	168 29 728477	168 69 728350
2 2	198 109 959928	198 188 959982
2 2	223 169 95811.1	223 176 95677.8
2 2	223 169 95811.1	223 187 95588.9
2 2	223 169 95811.1	224 202 96033.3
2 2	223 176 95677.8	223 187 95588.9
2 2	223 176 95677.8	224 202 96033.3
2 2	223 187 95588.9	224 202 96033.3
2 2	254 172 956209	254 254 956183
1 2	230 121 297677	113 123 297614
tim_003.dat
2 2	44 11 154175	47 67 154500
2 2	44 11 154175	51 159 154240
2 2	46 31 155100	50 131 155325
2 2	46 31 155100	51 136 155180
2 2	46 31 155100	51 148 154980
2 2	46 31 155100	54 210 155150
2 2	46 31 155100	55 243 155075
2 2	47 67 154500	51 148 154980
2 2	47 67 154500	51 159 154240
2 2	50 131 155325	51 136 155180
2 2	50 131 155325	51 148 154980
2 2	50 131 155325	54 210 155150
2 2	50 131 155325	55 243 155075
2 2	51 136 155180	51 148 154980
2 2	51 136 155180	54 210 155150
2 2	51 136 155180	55 243 155075
2 2	51 148 154980	54 210 155150
2 2	51 148 154980	55 243 155075
2 2	54 210 155150	55 243 155075
2 2	59 190 577293	62 232 577287
2 2	72 2 93316.7	72 10 93205.6
2 2	72 10 93205.6	73 38 92775
2 2	73 31 92680	73 38 92775
2 2	73 31 92680	73 42 92500
2 2	73 38 92775	73 42 92500
2 2	141 29 29775	141 97 29528.6
2 2	141 29 29775	142 152 30255.6
2 2	142 60 28925	142 75 29160
2 2	142 75 29160	141 97 29528.6
2 2	149 43 582069	150 253 582042
2 2	149 43 582069	151 93 582075
2 2	150 253 582042	151 93 582075
2 2	204 196 166872	206 79 166900
1 2	173 224 95428.6	142 11 95150
tim_004.dat
2 2	36 8 551883	37 22 551486
2 2	77 153 25565.1	167 111 25580
2 2	173 121 276233	174 130 276250
2 2	182 3 960057	182 13 960050
2 2	188 17 777016	190 63 777008
2 2	188 17 777016	190 93 777069
2 2	188 17 777016	190 106 776577
2 2	188 17 777016	192 229 776675
2 2	188 17 777016	192 236 776700
2 2	188 17 777016	192 251 776591
2 2	190 63 777008	190 93 777069
2 2	190 63 777008	190 106 776577
2 2	190 63 777008	192 229 776675
2 2	190 63 777008	192 236 776700
2 2	190 63 777008	192 251 776591
2 2	190 93 777069	190 106 776577
2 2	190 93 777069	192 229 776675
2 2	190 93 777069	192 236 776700
2 2	190 93 777069	192 251 776591
2 2	190 106 776577	190 125 776320
2 2	190 106 776577	190 134 776290
2 2	190 106 776577	191 153 776325
2 2	190 106 776577	191 192 776492
2 2	190 106 776577	192 212 776460
2 2	190 106 776577	192 229 776675
2 2	190 106 776577	192 236 776700
2 2	190 106 776577	192 251 776591
2 2	190 125 776320	190 134 776290
2 2	190 125 776320	191 153 776325
2 2	190 125 776320	191 167 776075
2 2	190 125 776320	191 192 776492
2 2	190 125 776320	192 212 776460
2 2	190 125 776320	192 229 776675
2 2	190 125 776320	192 236 776700
2 2	190 125 776320	192 251 776591
2 2	190 134 776290	191 153 776325
2 2	190 134 776290	191 167 776075
2 2	190 134 776290	191 192 776492
2 2	190 134 776290	192 212 776460
2 2	190 134 776290	192 217 775800
2 2	190 134 776290	192 229 776675
2 2	190 134 776290	192 236 776700
2 2	190 134 776290	192 251 776591
2 2	191 153 776325	191 167 776075
2 2	191 153 776325	191 192 776492
2 2	191 153 776325	192 212 776460
2 2	191 153 776325	192 229 776675
2 2	191 153 776325	192 236 776700
2 2	191 153 776325	192 251 776591
2 2	191 167 776075	191 192 776492
2 2	191 167 776075	192 212 776460
2 2	191 167 776075	192 217 775800
2 2	191 192 776492	192 212 776460
2 2	191 192 776492	192 229 776675
2 2	191 192 776492	192 236 776700
2 2	191 192 776492	192 251 776591
2 2	192 212 776460	192 229 776675
2 2	192 212 776460	192 236 776700
2 2	192 212 776460	192 251 776591
2 2	192 229 776675	192 236 776700
2 2	192 229 776675	192 251 776591
2 2	192 236 776700	192 251 776591
tim_005.dat
1 1	169 72 243000	174 115 243000
2 2	0 158 851475	3 215 851673
2 2	86 14 863590	87 62 863643
2 2	182 226 932975	184 245 932867
2 2	233 56 88655.6	234 83 88191.2
2 2	233 65 87927.3	234 83 88191.2
1 2	167 216 791025	99 244 791000
tim_006.dat
2 2	94 163 959968	94 176 959875
2 2	94 163 959968	95 184 959962
2 2	94 163 959968	95 203 959850
2 2	94 163 959968	212 100 960013
2 2	94 176 959875	95 184 959962
2 2	94 176 959875	95 203 959850
2 2	94 176 959875	212 100 960013
2 2	95 184 959962	95 203 959850
2 2	95 184 959962	212 100 960013
2 2	95 203 959850	212 100 960013
2 2	118 108 806117	118 140 806543
2 2	118 108 806117	118 147 806460
2 2	118 140 806543	118 147 806460
1 2	143 48 808157	119 205 807710
tim_007.dat
2 2	211 66 89517.1	215 199 89883.3
2 2	212 82 90320.7	213 130 90446.5
2 2	212 82 90320.7	215 199 89883.3
2 2	246 65 356950	246 80 357178
tim_008.dat
2 2	52 3 460936	54 98 461076
2 2	52 3 460936	54 75 460729
2 2	52 3 460936	54 84 460867
2 2	52 3 460936	57 203 460660
2 2	54 98 461076	54 75 460729
2 2	54 98 461076	54 84 460867
2 2	54 98 461076	57 203 460660
2 2	53 35 460250	54 55 460325
2 2	53 35 460250	53 64 460350
2 2	53 35 460250	54 75 460729
2 2	53 35 460250	55 132 460158
2 2	53 35 460250	56 158 460233
2 2	53 35 460250	57 203 460660
2 2	53 35 460250	58 213 460125
2 2	53 35 460250	59 253 460150
2 2	54 55 460325	53 64 460350
2 2	54 55 460325	54 75 460729
2 2	54 55 460325	55 132 460158
2 2	54 55 460325	56 158 460233
2 2	54 55 460325	57 203 460660
2 2	54 55 460325	58 213 460125
2 2	54 55 460325	59 253 460150
2 2	53 64 460350	54 75 460729
2 2	53 64 460350	55 132 460158
2 2	53 64 460350	56 158 460233
2 2	53 64 460350	57 203 460660
2 2	53 64 460350	58 213 460125
2 2	53 64 460350	59 253 460150
2 2	54 75 460729	54 84 460867
2 2	54 75 460729	56 158 460233
2 2	54 75 460729	57 203 460660
2 2	54 84 460867	57 203 460660
2 2	55 132 460158	56 158 460233
2 2	55 132 460158	58 213 460125
2 2	55 132 460158	59 253 460150
2 2	56 158 460233	57 203 460660
2 2	56 158 460233	58 213 460125
2 2	56 158 460233	59 253 460150
2 2	58 213 460125	59 253 460150
2 2	72 14 286294	73 33 286275
2 2	85 105 959917	85 116 959929
2 2	85 105 959917	85 123 959927
2 2	85 105 959917	86 141 959933
2 2	85 105 959917	251 32 959950
2 2	85 105 959917	251 45 959952
2 2	85 116 959929	85 123 959927
2 2	85 116 959929	86 141 959933
2 2	85 116 959929	251 32 959950
2 2	85 116 959929	251 45 959952
2 2	85 123 959927	86 141 959933
2 2	85 123 959927	251 32 959950
2 2	85 123 959927	251 45 959952
2 2	86 141 959933	251 32 959950
2 2	86 141 959933	251 45 959952
2 2	158 118 157356	162 208 157314
2 2	159 139 155908	159 150 155880
2 2	251 32 959950	251 45 959952
tim_009.dat
2 2	75 182 701286	75 196 701300
2 2	166 31 960027	166 5 960050
2 2	166 31 960027	166 52 959950
2 2	166 31 960027	167 61 959979
2 2	166 31 960027	167 82 960026
2 2	166 31 960027	167 97 959880
2 2	166 31 960027	168 106 960025
2 2	166 31 960027	168 116 959957
2 2	166 31 960027	168 142 960006
2 2	166 5 960050	166 52 959950
2 2	166 5 960050	167 61 959979
2 2	166 5 960050	167 82 960026
2 2	166 5 960050	167 97 959880
2 2	166 5 960050	168 106 960025
2 2	166 5 960050	168 116 959957
2 2	166 5 960050	168 142 960006
2 2	166 52 959950	167 61 959979
2 2	166 52 959950	167 82 960026
2 2	166 52 959950	167 97 959880
2 2	166 52 959950	168 106 960025
2 2	166 52 959950	168 116 959957
2 2	166 52 959950	168 142 960006
2 2	167 61 959979	167 82 960026
2 2	167 61 959979	167 97 959880
2 2	167 61 959979	168 106 960025
2 2	167 61 959979	168 116 959957
2 2	167 61 959979	168 142 960006
2 2	167 82 960026	167 97 959880
2 2	167 82 960026	168 106 960025
2 2	167 82 960026	168 116 959957
2 2	167 82 960026	168 142 960006
2 2	167 97 959880	168 106 960025
2 2	167 97 959880	168 116 959957
2 2	167 97 959880	168 142 960006
2 2	168 106 960025	168 116 959957
2 2	168 106 960025	168 142 960006
2 2	168 116 959957	168 142 960006
1 2	2 75 769850	113 141 769871
tim_010.dat
2 2	134 95 371546	136 130 371523
2 2	134 108 371036	136 130 371523
2 2	157 159 960018	157 201 959950
2 2	157 159 960018	157 229 959984
2 2	157 159 960018	157 246 959993
2 2	157 159 960018	157 188 959976
2 2	157 159 960018	157 217 959983
2 2	157 201 959950	157 229 959984
2 2	157 201 959950	157 246 959993
2 2	157 201 959950	157 188 959976
2 2	157 201 959950	157 217 959983
2 2	157 229 959984	157 246 959993
2 2	157 229 959984	157 188 959976
2 2	157 229 959984	157 217 959983
2 2	157 246 959993	157 188 959976
2 2	157 246 959993	157 217 959983
2 2	157 188 959976	157 217 959983
tim_011.dat
2 2	27 106 305247	27 68 304877
2 2	27 68 304877	28 87 304672
2 2	86 208 735333	87 218 735009
2 2	86 208 735333	87 234 735022
2 2	87 218 735009	87 234 735022
2 2	127 29 847963	129 147 848100
2 2	152 141 960057	152 148 960060
2 2	152 141 960057	152 163 960050
2 2	152 141 960057	154 232 960044
2 2	152 141 960057	153 171 960010
2 2	152 141 960057	153 183 960007
2 2	152 141 960057	153 195 960014
2 2	152 141 960057	154 209 960050
2 2	152 141 960057	154 221 960057
2 2	152 141 960057	155 245 960050
2 2	152 141 960057	155 252 960040
2 2	152 148 960060	152 163 960050
2 2	152 148 960060	154 232 960044
2 2	152 148 960060	153 171 960010
2 2	152 148 960060	153 183 960007
2 2	152 148 960060	153 195 960014
2 2	152 148 960060	154 209 960050
2 2	152 148 960060	154 221 960057
2 2	152 148 960060	155 245 960050
2 2	152 148 960060	155 252 960040
2 2	152 163 960050	154 232 960044
2 2	152 163 960050	153 171 960010
2 2	152 163 960050	153 183 960007
2 2	152 163 960050	153 195 960014
2 2	152 163 960050	154 209 960050
2 2	152 163 960050	154 221 960057
2 2	152 163 960050	155 245 960050
2 2	152 163 960050	155 252 960040
2 2	154 232 960044	153 171 960010
2 2	154 232 960044	153 183 960007
2 2	154 232 960044	153 195 960014
2 2	154 232 960044	154 209 960050
2 2	154 232 960044	154 221 960057
2 2	154 232 960044	155 245 960050
2 2	154 232 960044	155 252 960040
2 2	153 171 960010	153 183 960007
2 2	153 171 960010	153 195 960014
2 2	153 171 960010	154 209 960050
2 2	153 171 960010	154 221 960057
2 2	153 171 960010	155 245 960050
2 2	153 171 960010	155 252 960040
2 2	153 183 960007	153 195 960014
2 2	153 183 960007	154 209 960050
2 2	153 183 960007	154 221 960057
2 2	153 183 960007	155 245 960050
2 2	153 183 960007	155 252 960040
2 2	153 195 960014	154 209 960050
2 2	153 195 960014	154 221 960057
2 2	153 195 960014	155 245 960050
2 2	153 195 960014	155 252 960040
2 2	154 209 960050	154 221 960057
2 2	154 209 960050	155 245 960050
2 2	154 209 960050	155 252 960040
2 2	154 221 960057	155 245 960050
2 2	154 221 960057	155 252 960040
2 2	155 245 960050	155 252 960040
2 2	158 104 370900	158 119 371067
2 2	162 99 586916	162 114 586960
tim_012.dat
1 1	227 5 257345	228 148 257320
2 2	54 113 536350	54 123 536640
2 2	54 113 536350	55 133 536300
2 2	54 113 536350	55 148 536075
2 2	54 123 536640	55 133 536300
2 2	55 133 536300	55 148 536075
2 2	61 22 409275	65 94 409520
2 2	104 58 6175.29	106 107 5725
2 2	104 58 6175.29	107 148 5973.33
2 2	106 107 5725	107 148 5973.33
2 2	106 107 5725	108 165 5441.18
2 2	106 107 5725	108 177 5643.48
2 2	106 107 5725	108 189 5460
2 2	106 107 5725	108 197 5566.67
2 2	106 107 5725	109 230 5233.33
2 2	106 107 5725	109 238 5425
2 2	106 107 5725	110 252 5400
2 2	107 148 5973.33	108 177 5643.48
2 2	107 148 5973.33	108 197 5566.67
2 2	108 165 5441.18	108 177 5643.48
2 2	108 165 5441.18	108 189 5460
2 2	108 165 5441.18	108 197 5566.67
2 2	108 165 5441.18	109 209 5075
2 2	108 165 5441.18	109 230 5233.33
2 2	108 165 5441.18	109 238 5425
2 2	108 165 5441.18	110 252 5400
2 2	108 177 5643.48	108 189 5460
2 2	108 177 5643.48	108 197 5566.67
2 2	108 177 5643.48	109 230 5233.33
2 2	108 177 5643.48	109 238 5425
2 2	108 177 5643.48	110 252 5400
2 2	108 189 5460	108 197 5566.67
2 2	108 189 5460	109 209 5075
2 2	108 189 5460	109 230 5233.33
2 2	108 189 5460	109 238 5425
2 2	108 189 5460	110 252 5400
2 2	108 197 5566.67	109 209 5075
2 2	108 197 5566.67	109 230 5233.33
2 2	108 197 5566.67	109 238 5425
2 2	108 197 5566.67	110 252 5400
2 2	109 209 5075	109 230 5233.33
2 2	109 209 5075	109 238 5425
2 2	109 209 5075	110 252 5400
2 2	109 230 5233.33	109 238 5425
2 2	109 230 5233.33	110 252 5400
2 2	109 238 5425	110 252 5400
2 2	185 16 216851	185 85 216856
tim_013.dat
2 2	102 7 193933	205 190 194025
2 2	102 7 193933	204 196 194310
2 2	102 7 193933	205 220 193800
2 2	102 7 193933	205 230 194275
2 2	151 163 482007	151 174 482392
2 2	177 1 99750	177 10 99260
2 2	178 24 98477.8	179 92 98260
2 2	202 47 195410	203 134 195106
2 2	202 47 195410	204 183 195043
2 2	203 134 195106	204 183 195043
2 2	205 190 194025	204 196 194310
2 2	205 190 194025	205 205 194440
2 2	205 190 194025	205 220 193800
2 2	205 190 194025	205 230 194275
2 2	204 196 194310	205 205 194440
2 2	204 196 194310	205 230 194275
2 2	205 205 194440	205 230 194275
2 2	205 220 193800	205 230 194275
2 2	252 16 213213	253 42 212756
2 2	252 16 213213	254 89 213150
2 2	253 42 212756	254 89 213150
1 2	96 98 760375	127 117 759909
tim_014.dat
2 2	19 77 960042	19 164 960042
2 2	50 51 945405	53 119 945420
2 2	50 51 945405	54 132 945903
2 2	53 119 945420	54 132 945903
2 2	157 28 928575	163 220 928603
2 2	157 28 928575	162 206 928150
2 2	157 60 927820	161 167 927900
2 2	157 60 927820	162 200 927957
2 2	157 60 927820	162 206 928150
2 2	161 167 927900	162 200 927957
2 2	161 167 927900	162 206 928150
2 2	162 200 927957	162 206 928150
2 2	163 220 928603	162 206 928150
2 2	188 240 339306	189 252 339400
2 2	240 89 210862	243 125 210586
2 2	240 89 210862	244 148 210535
2 2	243 125 210586	244 148 210535
tim_015.dat
1 1	201 136 410983	229 176 410983
2 2	3 113 907275	4 207 907282
