10	x	y	xelow	xeup	yelow	yeup
1	9.37E+021	0	2.73E+021	2.11E+021	6.65E-011	6.65E-011
2	1.43E+022	7.73E-011	2.62E+021	2.22E+021	2.98E-011	2.98E-011
3	2.02E+022	2.97E-011	3.95E+021	3.31E+021	1.45E-011	1.45E-011
4	2.96E+022	2.81E-011	6.66E+021	5.44E+021	1.09E-011	1.09E-011
5	5.13E+022	1.26E-011	2.13E+022	1.50E+022	6.79E-012	6.79E-012
6	9.37E+022	2.03E-011	2.73E+022	2.11E+022	8.00E-012	8.00E-012
7	1.71E+023	6.01E-012	7.09E+022	5.01E+022	6.53E-012	6.53E-012
8	3.42E+023	1.55E-011	1.42E+023	1.00E+023	8.38E-012	8.38E-012
9	6.84E+023	0	2.84E+023	2.00E+023	1.22E-011	1.22E-011
10	1.53E+024	0	8.89E+023	5.63E+023	1.28E-011	1.28E-011
137	x	y	xelow	xeup	yelow	yeup
1	5.42E-011	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
2	8.14E-011	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
3	1.22E-010	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
4	1.83E-010	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
5	2.75E-010	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
6	4.12E-010	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
7	6.18E-010	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
8	9.27E-010	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
9	1.39E-009	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
10	2.09E-009	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
11	3.13E-009	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
12	4.69E-009	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
13	7.04E-009	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
14	1.06E-008	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
15	1.58E-008	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
16	2.38E-008	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
17	3.56E-008	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
18	5.34E-008	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
19	8.02E-008	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
20	1.20E-007	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
21	1.80E-007	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
